抹	mut3
挐	naa1
𤶸	naa1
𪐀	naa1
乸	naa2
嗱	naa4
乃	naai3
褦	naai3
奶	naai5
揇	naam3
𨂾	naam3
腩	naam5
癩	naan3
𧕴	naan3
難	naan4
納	naap3
焫	naat3
捺	naat6
錨	naau4
鬧	naau6
抳	nai4
泥	nai4
恁	nam2
諗	nam2
煁	nam4
腍	nam4
淰	nam6
渜	nan1
撚	nan2
𠹌	nang3
凹	nap1
𣲷	nap6
𥹉	nap6
嬲	nau1
獳	nau1
扭	nau2
紐	nau2
匿	nei1
女	neoi1
女	neoi2
女	neoi5
枒	ngaa6
𦜖	ngaa6
嗌	ngaai3
挨	ngaai4
捱	ngaai4
額	ngaak6
啱	ngaam1
揅	ngaan4
研	ngaan4
眼	ngaan5
餲	ngaat3
撓	ngaau1
殽	ngaau4
咬	ngaau5
樂	ngaau6
𠱓	ngai1
𠼮	ngai1
翳	ngai3
蟻	ngai5
吟	ngam4
扲	ngam4
撢	ngam4
奀	ngan1
銀	ngan2
䟴	ngan3
扤	ngan3
仁	ngan4
銀	ngan4
垽	ngan6
韌	ngan6
噏	ngap1
罨	ngap1
岋	ngap6
岌	ngap6
砐	ngap6
翕	ngap6
扤	ngat1
扤	ngat6
勾	ngau1
鈎	ngau1
牛	ngau4
藕	ngau5
吽	ngau6
鵝	ngo4
餓	ngo6
礙	ngoi6
𩓥	ngok6
戇	ngong6
摮	ngou1
𢳆	ngou4
𡃵	ngung1
𡃵	ngung2
呢	ni1
搦	nik1
拈	nim1
踮	nim1
黏	nim1
躡	nim3
黏	nim4
念	nim6
𢆡	nin1
拎	ning1
擰	ning6
捼	no4
耐	noi6
惱	nou3
腦	nou5
燶	nung1
嫩	nyun6
屙	o1
妸	o2
欸	oi2
藹	oi2
愛	oi3
惡	ok3
按	on3
噢	ou1
擙	ou1
扒	paa2
扒	paa4
派	paai1
排	paai2
派	paai3
排	paai4
牌	paai4
拍	paak3
泊	paak3
盼	paan3
嘭	paang1
抨	paang1
𢴒	paang1
𨭌	paang1
棚	paang4
癟	paat3
坺	paat6
拋	paau1
泡	paau1
刨	paau2
泡	paau3
炮	paau3
刨	paau4
㓟	pai1
批	pai1
𠜱	pai1
噴	pan3
䋨	pau3
𠵿	pe1
佊	pe5
㩺	pei1
紕	pei1
皮	pei2
鄙	pei2
皮	pei4
被	pei5
劈	pek3
擗	pek6
屏	peng1
憑	peng1
抨	peng1
拼	peng1
呯	peng4
坺	pet6
辟	pik1
揙	pin2
片	pin2
片	pin3
拼	ping1
撇	pit3
潎	pit3
票	piu3
嫖	piu4
樖	po1
婆	po4
泡	pok1
𦢊	pok1
撲	pok3
鋪	pou1
鋪	pou3
浮	pou4
蒲	pou4
抱	pou5
泡	pou5
配	pui3
賠	pui4
陪	pui4
覆	puk1
拚	pun2
盤	pun2
盆	pun4
盤	pun4
捧	pung2
碰	pung3
拂	put3
沙	saa1
嘥	saai1
舐	saai2
晒	saai3
曬	saai3
衫	saam1
閂	saan1
散	saan2
散	saan3
孱	saan4
潺	saan4
生	saang1
㨘	saang2
省	saang2
譅	saap3
霎	saap3
烚	saap6
煈	saap6
煠	saap6
𤆣	saap6
捎	saau1
哨	saau3
潲	saau3
睄	saau3
篩	sai1
洗	sai2
駛	sai2
勢	sai3
細	sai3
世	sai6
噬	sai6
塞	sak1
參	sam1
嬸	sam2
糝	sam2
申	san1
呻	san3
神	san4
脤	san5
擤	sang3
濕	sap1
拾	sap6
實	sat6
友	sau2
手	sau2
受	sau6
壽	sau6
瀉	se2
蛇	se4
熄	sek1
惜	sek3
食	sek6
聲	seng1
腥	seng1
醒	seng2
鉎	seng3
成	seng4
衰	seoi1
水	seoi2
穗	seoi2
繐	seoi2
碎	seoi3
垂	seoi4
榫	seon2
筍	seon2
順	seon2
馴	seon4
恤	seot1
戌	seot1
銊	seot1
術	seot6
撕	si1
屎	si2
市	si5
識	sik1
食	sik6
閃	sim2
仙	sin1
搧	sin1
扇	sin3
綫	sin3
跣	sin3
𨃩	sin3
升	sing1
星	sing1
煋	sing1
聲	sing1
惺	sing2
繩	sing2
醒	sing2
