人多煠狗唔腍	jan4 do1 saap6 gau2 m4 nam4
人头猪脑	jan4 tau4 zyu1 nou5
人客	jan4 haak3
人工	jan4 gung1
人工	jan4 gung1
人日	jan4 jat6
人日	jan4 jat2
人板	jan4 baan2
人渣	jan4 zaa1
人精	jan4 zing1
人细鬼大	jan4 sai3 gwai2 daai6
仆	puk1
仆	puk1
仆街	puk1 gaai1
仆转	puk1 zyun3
仇口	sau4 hau2
今	gam1
今年时	gam1 nin4 si4
今年时	gam1 nin2 si4
今日	gam1 jat6
今日	gam1 mat6
今晚	gam1 maan5
今朝	gam1 ziu1
介乎	gaai3 fu4
仔	zai2
崽	zai2
仔	zai2
崽	zai2
仔	zai2
崽	zai2
仔	zai2
崽	zai2
仔乸	zai2 naa2
仔仔	zai2 zai2
仔仔	zai2 zai1
仔仔	zai4 zai2
仔仔	zai4 zai1
仔大仔世界	zai2 daai6 zai2 sai3 gaai3
仔女	zai2 neoi5
仔女	zai2 neoi2
仔爷	zai2 je4
他条	taa1 tiu4
仗	zoeng3
代代平安	doi6 doi6 ping4 on1
以心为心	ji5 sam1 wai4 sam1
仲	zung6
重	zung6
仲	zung6
重	zung6
仲	zung6
重	zung6
仲估	zung6 gu2
重估	zung6 gu2
仲加	zung6 gaa1
重加	zung6 gaa1
仵作佬	ng5 zok6 lou2
件	gin6
份	fan6
企	kei5
企	kei2
企	kei5
徛	kei5
企人旁	kei5 jan4 pong4
企人旁	kei5 jan2 pong4
企人边	kei5 jan4 bin1
企人边	kei5 jan2 bin1
企堂	kei5 tong4
企堂	kei5 tong2
企理	kei5 lei5
企身	kei5 san1
企身柜	kei5 san1 gwai6
企身煲	kei5 san1 bou1
企身琴	kei5 san1 kam4
企身琴	kei6 san1 kam4
企领	kei5 leng5
伊士	ji1 si6
伊士	ji1 si2
伊面	ji1 min6
伏	buk6
伏	buk6
伏儿人	buk6 ji4 jan4
伏儿人	buk6 ji4 jan1
伏儿人	buk6 ji1 jan4
伏儿人	buk6 ji1 jan1
伏匿匿	buk6 nei1 nei1
优	jau1
伙	fo2
伙记	fo2 gei3
伙记	fo2 gei3
会弹唔会唱	wui5 taan4 m4 wui5 coeng3
会错意	wui6 co3 ji3
伢伢	ngaa4 ngaa4
伢伢	ngaa4 ngaa1
伧鸡	caang4 gai1
伧鸡婆	caang1 gai1 po4
伧鸡婆	caang4 gai1 po4
伯公	baak3 gung1
伯娘	baak3 noeng4
伯娘	baak3 noeng4
伯婆	baak3 po4
伯父	baak3 fu2
伯爷	baak3 je4
伯爷	baak3 je1
伯爷公	baak3 je4 gung1
伯爷公	baak3 je1 gung1
伯爷婆	baak6 je4 po4
伯爷婆	baak6 je4 po2
伯爷婆	baak6 je1 po4
伯爷婆	baak6 je1 po2
估	gu2
估	gu2
似	ci5
似足	ci5 zuk1
佃个仔	sai3 go3 zai2
但系	daan6 hai6
佊	pe5
位	wai6
位	wai2
低	dai1
住	zyu6
住	zyu6
住家工	zyu6 gaa1 gung1
佗	to4
佗手㨢脚	to4 sau2 nang3 goek3
佗累	to4 leoi6
佗表	to4 biu2
佗表	to4 biu1
佗衰	to4 seoi1
佗铁	to4 tit3
作	zok3
作	zok6
作	zok3
作	zok6
作	zok3
作呕	zok3 au2
作渴	zok3 hot3
你哋	nei5 dei6
佢	keoi5
佢哋	keoi5 dei6
佣	jung2
佬	lou2
佮	tap1
佮佮冚	tap1 tap1 ham6
佮佮掂	tap1 tap1 dim6
佮佮掂	tap1 tap1 dim4
佮佮掂	tap1 tap1 dim6
使	sai2
使	sai2
使	sai2
使乜	sai2 mat1
使婆	sai2 po4
使婆	sai2 po2
使得	sai2 dak1
使得	sai2 dak1
使横手	sai2 waang4 sau2
使用	sai2 jung6
使颈	sai2 geng2
侄	zat6
侄	zat2
侄仔	zat6 zai2
侄抱	zat6 pou5
侄妇	zat6 pou5
例汤	lai6 tong1
例牌	lai6 paai4
例牌	lai6 paai2
例牌	lai6 paai4
例牌	lai6 paai2
例规	lai6 kwai1
侧便	zak1 bin6
侧跟	zak1 gan1
侨	kiu4
侵	zam1
便	bin6
便	bin6
便利店	bin6 lei6 dim3
保安仔	bou2 on1 zai2
信咭	seon3 kat1
信肉	seon3 juk6
信肉	seon3 juk2
修整	sau1 zing2
倒𠶲	dou3 kap6
倒䍇咁早	dou2 taap3 gam3 zou2
倒刺	dou3 ci3
倒屎	dou2 si2
倒屎咁早	dou2 si2 gam3 zou2
倒扱	dou3 kap1
倒掟	dou3 deng3
倒掟头	dou3 deng3 tau4
倒掟头	dou3 deng3 tau4
倒模	dou2 mou4
倒模	dou2 mou2
